Accession,Biosample,Kept,type,Nreads,NEWEVAL,X..contigs.....1000.bp.,X..contigs.....5000.bp.,X..contigs.....10000.bp.,X..contigs.....25000.bp.,X..contigs.....50000.bp.,Total.length.....0.bp.,Total.length.....1000.bp.,Total.length.....5000.bp.,Total.length.....10000.bp.,Total.length.....25000.bp.,Total.length.....50000.bp.,X..contigs,Largest.contig,N50.x,N75,L50,L75,X..N.s.per.100.kbp,X..predicted.genes.....0.bp.,X..predicted.genes.....300.bp.,X..predicted.genes.....1500.bp.,X..predicted.genes.....3000.bp.,X..total.reads,X..left,X..right,Mapped....,Properly.paired....,Avg..coverage.depth,Coverage....1x....,species,species_match,contig_count,N50.y,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,K_locus_problems,K_locus_confidence,K_locus_identity,K_locus_missing_genes,O_locus,O_type,O_locus_problems,O_locus_confidence,O_locus_identity,O_locus_missing_genes,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,GC,contigs,Genes,TotalLength,geneshet,Min,Q1,Median,Mean,Q3,Max,NAs,MashMedianrounded,type2
GCF_000240185.1,SAMN02602959,Yes,NCBI,NA,NA,7,4,4,4,4,5682322,5682322,5673910,5673910,5673910,5673910,7,5333942,5333942,5333942,1,1,0.02,5052 + 0 part,4606 + 0 part,687 + 0 part,65 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,7,5333942,5333942,5682322,yes (1),ambiguous_bases,ST11,1,3,9,13,ybt 9; ICEKp3,15,-,0,-,0,-,0,-,0,-,wzi74,KL103,*,Very high,96.69%,,O2v1,O2,none,Very high,97.72%,,aadA2^;rmtB;strA.v1^;strB.v1,-,-,-,-,-,-,-,sul2,tet(G).v1,-,dfrA12*,TEM-1;TEM-1;TEM-1,-,CTX-M-14;CTX-M-14,-,KPC-2,SHV-11.v1,35Q,OmpK35-40%,PmrB-10%,GyrA-83I;ParC-80I,aac(3)-IId*?-0%,floR.v2*?;sul1?-63%,ST11,3,3,1,1,1,1,4,14,11,14,5,9,22,19,10,5,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.12,7,5006,5682322,NA,0.000730741,0.00567497,0.0107836,0.00944302422623025,0.0119383,0.0196275,1,0.0108,BD
GCF_000364385.3,SAMN02152539,Yes,NCBI,NA,NA,5,4,4,4,4,5781501,5781501,5779487,5779487,5779487,5779487,5,5435746,5435746,5435746,1,1,0,5102 + 0 part,4652 + 0 part,703 + 0 part,67 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5435746,5435746,5781501,no,-,ST11,0,2,10,22,-,0,-,0,-,0,-,0,-,0,-,wzi236,KL10,none,Very high,99.56%,,O3b,O3b,*,High,91.71%,,aac(3)-IIa.v1^;aac(6')-Ib'.v1;aac(6')-Ib-cr.v2;aac(6')-Ib3^;aadA2;rmtC;strA.v1^;strB.v1,-,-,qnrB9.2^,-,mphA,CatB4.v1,-,sul1;sul1;sul2,tet(A).v1,-,dfrA14.v2*,CMY-6;OXA-1;TEM-1D.v1^,-,CTX-M-15;CTX-M-15,-,NDM-1,SHV-11.v1;SHV-11.v1*,35Q;35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.97,5,5065,5781501,NA,2.38274e-05,0.0055427,0.0114419,0.00995686305397934,0.01269375,0.0202137,1,0.0114,BD
GCF_000693455.1,SAMN02581326,Yes,NCBI,NA,NA,14,10,8,8,5,5492360,5492360,5483159,5470470,5470470,5345479,14,4598511,4598511,4598511,1,1,664.58,4806 + 0 part,4411 + 0 part,680 + 0 part,65 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,14,4598511,4598511,5492360,yes (36501),ambiguous_bases,ST11,0,2,7,12,-,0,-,0,-,0,-,0,-,0,-,wzi177,KL125,*,High,90.39%,,O3b,O3b,-,High,98.96%,O3b_02_manB,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA*,-,-,-,-,-,CatB4.v1?;catII.2*,-,-,tet(A).v1,-,-,OXA-1;OXA-9.v1;TEM-1D.v1^,-,CTX-M-15;SHV-12,-,KPC-2,SHV-11.v1,238S;240K;35Q;35Q,OmpK35-70%,-,GyrA-83I;GyrA-87Y;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.36,14,4770,5492360,NA,0.000805673,0.00508714,0.0100623,0.00886860770071385,0.0113529,0.0191181,1,0.0101,BD
GCF_000694615.1,SAMN02581242,Yes,NCBI,NA,NA,11,8,8,7,5,5776546,5776546,5772887,5772887,5750098,5671463,11,3839600,3839600,1522444,1,2,1497.49,4963 + 3 part,4549 + 1 part,716 + 0 part,76 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,11,3839600,3839600,5776546,yes (86503),ambiguous_bases,ST11,1,2,10,13,ybt 15; ICEKp11,313,-,0,-,0,-,0,-,0,-,wzi24,KL24,-,High,99.99%,KL24_13_wcuG,O2v1,O2,none,Very high,98.52%,,aac(6')-Ib'.v1;strA.v1^;strB.v1,-,-,qnrB9.2^,-,mphA,CatB4.v1;catII.2*,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1,-,CTX-M-15,-,NDM-1,SHV-11.v1,35Q,-,-,GyrA-83F;GyrA-87A;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,65,15,22,4,1,37,209,14,1,4,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.06,11,4944,5776546,NA,0.000143503,0.00560872,0.0108702,0.00937548965340219,0.0118471,0.0195632,1,0.0109,BD
GCF_001022035.1,SAMN03024610,Yes,NCBI,NA,NA,4,4,4,4,2,5552491,5552491,5552491,5552491,5552491,5459038,4,5328319,5328319,5328319,1,1,0,4884 + 0 part,4468 + 0 part,691 + 0 part,65 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,4,5328319,5328319,5552491,no,-,ST11,0,2,6,9,-,0,-,0,-,0,-,0,-,0,-,wzi177,KL125,*,High,90.39%,,O3b,O3b,none,Very high,99.05%,,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2,-,-,-,-,-,CatB4.v1;catII.2*,-,-,-,-,-,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,KPC-3;KPC-3,SHV-11.v1,35Q,OmpK35-70%,-,GyrA-83I;GyrA-87Y;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.26,4,4835,5552491,NA,0.000805673,0.00451781,0.00981378,0.00849639470997874,0.0110882,0.0186813,1,0.0098,BD
GCF_001030995.1,SAMN03280236,Yes,NCBI,NA,NA,17,12,6,5,4,5589429,5589429,5577819,5537217,5516416,5466648,17,4740897,4740897,4740897,1,1,343.79,4920 + 3 part,4504 + 2 part,691 + 0 part,65 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,17,4740897,4740897,5589429,yes (19216),ambiguous_bases,ST11,0,1,7,12,-,0,-,0,-,0,-,0,-,0,-,wzi177,KL125,*,High,90.39%,,O3b,O3b,none,Very high,99.05%,,aac(3)-IIa.v1^;aac(3)-IIa.v1^;aac(6')-Ib'.v1;aadA*,-,-,-,-,mphA,CatB4.v1?,-,-,tet(A).v1,-,-,OXA-1;OXA-9.v1;TEM-1D.v1^,-,CTX-M-15;SHV-12,-,-,-,238S;240K;35Q,OmpK35-70%;OmpK36-58%,-,GyrA-83I;GyrA-87Y;ParC-80I,-,CTX-M-114?-0%;SHV-107?-49%,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.28,17,4884,5589429,NA,0.000385581,0.00486359,0.0101459,0.00880467057480255,0.0113974,0.0188675,1,0.0101,BD
GCF_001032875.1,SAMN03280349,Yes,NCBI,NA,NA,8,8,8,7,7,5571965,5571965,5571965,5571965,5557382,5557382,8,2965569,2965569,1389761,1,2,295.01,4885 + 0 part,4466 + 0 part,691 + 0 part,69 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,8,2965569,2965569,5571965,yes (16438),ambiguous_bases,ST11,0,1,7,11,-,0,-,0,-,0,-,0,-,0,-,wzi177,KL125,*,High,90.39%,,O3b,O3b,none,Very high,99.05%,,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^,-,-,-,-,-,CatB4.v1;catII.2*,-,sul1,-,-,dfrA12;dfrA14.v2*,OXA-1,-,CTX-M-15;SHV-12,-,-,SHV-11.v1,238S;240K;35Q;35Q,OmpK35-70%,-,GyrA-83I;GyrA-87Y;ParC-80I,tet(A).v1?-0%,-,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.29,8,4846,5571965,NA,9.55247e-05,0.00489536,0.0101459,0.00879311410546021,0.0113529,0.0188675,1,0.0101,BD
GCF_001033245.1,SAMN03280369,Yes,NCBI,NA,NA,7,7,7,7,5,5598357,5598357,5598357,5598357,5598357,5517164,7,2988617,2988617,1964591,1,2,283.37,4910 + 0 part,4494 + 0 part,690 + 0 part,66 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,7,2988617,2988617,5598357,yes (15864),ambiguous_bases,ST11,0,1,9,12,-,0,-,0,-,0,-,0,-,0,-,wzi177,KL125,*,High,90.39%,,O3b,O3b,none,Very high,99.05%,,aac(6')-Ib-cr.v2;aadA2^,-,-,-,-,mphA,CatB4.v1;catII.2*,-,sul1,tet(A).v1,-,dfrA12,OXA-1;OXA-9.v1;TEM-1D.v1^,-,SHV-12,-,-,-,238S;240K;35Q,OmpK35-70%;OmpK36-78%,-,GyrA-83I;GyrA-87Y;ParC-80I,-,aadA24*?-0%,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.29,7,4854,5598357,NA,0.000385581,0.00470559,0.00997914,0.00866468592337485,0.0112643,0.0188053,1,0.01,BD
GCF_001186065.1,SAMN03280229,Yes,NCBI,NA,NA,8,8,8,7,5,5695001,5695001,5695001,5695001,5679039,5607252,8,3453180,3453180,1871813,1,2,182.99,5007 + 1 part,4579 + 1 part,704 + 0 part,68 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,8,3453180,3453180,5695001,yes (10421),ambiguous_bases,ST11,0,2,8,10,-,0,-,0,-,0,-,0,-,0,-,wzi177,KL125,*,High,90.39%,,O3b,O3b,none,Very high,99.05%,,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2,-,-,-,-,mphA,CatB4.v1;catII.2*,-,-,tet(A).v1,-,-,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,KPC-3,SHV-11.v1,35Q,OmpK35-70%,-,GyrA-83I;GyrA-87Y;ParC-80I,-,SHV-12?-0%,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.16,8,4967,5695001,NA,0.000956583,0.00518381,0.010314,0.00903116726253038,0.0115313,0.0188053,1,0.0103,BD
GCF_001701835.2,SAMN04868736,Yes,NCBI,NA,NA,6,5,4,4,4,5843511,5843511,5838571,5833337,5833337,5833337,6,5426917,5426917,5426917,1,1,0,5122 + 0 part,4686 + 0 part,724 + 0 part,73 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,6,5426917,5426917,5843511,no,-,ST11,1,2,11,24,ybt 9; ICEKp3,183,-,0,-,0,-,0,-,0,-,wzi50,KL15,none,Very high,99.92%,,O4,O4,-,High,99.66%,O4_06_glycosyltransferase,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA*;aadA2^;ant(2'')-Ia;aph3-Ia.v1^;rmtB;strA.v1^;strB.v1,-,-,-,-,mphA,CatB4.v1;cmlA5,arr-2,sul1;sul2,tet(A).v2;tet(G).v1,-,dfrA12,OXA-1;OXA-10;TEM-1D.v1^,-,CTX-M-15;VEB-1,-,OXA-48,SHV-11.v1,35Q,-,-,GyrA-83I;ParC-80I,-,floR.v2*?;sul1?-63%,ST11,3,3,1,1,1,1,4,5,11,6,5,1,25,37,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.91,6,5077,5843511,NA,0.000215742,0.00550978,0.0109136,0.00951554137089915,0.0120757,0.0197565,1,0.0109,BD
